# Bernd Westphal, Website: www.Astroprtpzessor.eu, Mail: glomph@web.de

SO KON AS; Zeit des 'Nichts machen können' ist vorbei
SO OPP MA; Streit
SO OPP MA; Überanstrengung
SO OPP MA; Überspannung
SO OPP MA; übertrieben
SO OPP MA; überzogenes Handeln
SO OPP MA; Unfallgefahr
SO OPP MC; Tag des Heimes und der Herkunft
SO OPP ME; Missstimmung durch Schriftliches
SO OPP ME; Verhandlungen gehen schief
SO OPP ME; Zersplitterung
SO OPP MO; fühlen und handeln klaffen auseinander
SO OPP MO; gereizt
SO OPP MO; innere Unzufriedenheit
SO OPP MO; unausgeglichen
SO OPP NE; Enttäuschungen
SO OPP NE; keine festen Verträge machen
SO OPP NE; Tag der Auflösung
SO OPP NE; Vorsicht vor König Alkohol
SO OPP PL; kämpfen müssen
SO OPP PL; Selbstüberschätzung
SO OPP PL; Tag der Machtkämpfe
SO OPP PL; Überheblichkeit
SO OPP SA; Blockaden
SO OPP SA; Pessimismus
SO OPP SA; schwache Gesundheit
SO OPP SA; Schwierigkeiten
SO OPP SA; Tag der Grenzsetzung
SO OPP SA; Tag der Ordnung
SO OPP UR; kleine Unfälle
SO OPP UR; leichte Verletzungen
SO OPP UR; Querschläge und Rückschläge
SO OPP VE; Disharmonie
SO OPP VE; Enttäuschung
SO OPP VE; Nichterfüllung des Anspruches
SO OPP VE; unnötige Ausgaben
SO QUA AS; Benachteiligung durch andere
SO QUA AS; Disharmonie mit der Welt
SO QUA AS; Entfremdungen
SO QUA AS; mit sich und der Welt im Krieg
SO QUA JU; anmaßendes Verhalten
SO QUA JU; Differenzen in Vertragsangelegenheiten
SO QUA JU; Konflikte mit Behörden oder Justiz
SO QUA JU; Konflikte mit Höheren
SO QUA JU; Nachlässigkeit
SO QUA JU; überzogener Aufwand
SO QUA JU; Verschwendung
SO QUA KN; erschwerte Zusammenarbeit
SO QUA KN; Störung von Verbindungen
SO QUA MA; bei Krankheit Fieber
SO QUA MA; Kragen platz
SO QUA MA; nicht abwarten können
SO QUA MA; Schlägerei
SO QUA MA; Streit
SO QUA MA; Überanstrengung
SO QUA MA; Überspannung
SO QUA MA; übertrieben
SO QUA MA; überzogenes Handeln
SO QUA MA; Unfallgefahr
SO QUA MC; Probleme in der Familie
SO QUA MC; Unklarheiten im Beruf
SO QUA MC; Zielunsicherheit
SO QUA ME; Missstimmung durch Schriftliches
SO QUA ME; Verhandlungen gehen schief
SO QUA ME; Zersplitterung
SO QUA MO; fühlen und handeln klaffen auseinander
SO QUA MO; gereizt
SO QUA MO; innere Unzufriedenheit
SO QUA MO; Neuanfang
SO QUA MO; unausgeglichen
SO QUA NE; Enttäuschungen
SO QUA NE; keine festen Verträge machen
SO QUA NE; Tag der Auflösung
SO QUA NE; Vorsicht vor König Alkohol
SO QUA PL; kämpfen müssen
SO QUA PL; Selbstüberschätzung
SO QUA PL; Tag der Machtkämpfe
SO QUA PL; Überheblichkeit
SO QUA SA; Blockaden
SO QUA SA; Pessimismus
SO QUA SA; schwache Gesundheit
SO QUA SA; Schwierigkeiten
SO QUA SA; Tag der Grenzsetzung
SO QUA SA; Tag der Ordnung
SO QUA UR; kleine Unfälle
SO QUA UR; leichte Verletzungen
SO QUA UR; Querschläge und Rückschläge
SO QUA VE; Disharmonie
SO QUA VE; Enttäuschung
SO QUA VE; Nichterfüllung des Anspruches
SO QUA VE; unnötige Ausgaben
SO SEX AS; günstiger Tag für alles
SO SEX AS; gute Selbstdarstellung
SO SEX AS; guter Kontakt zu Freunden
SO SEX JU; Gesundung
SO SEX JU; gute Realisation
SO SEX JU; gutes Verhältnis zu Behörden
SO SEX JU; gutes Verhältnis zur Justiz
SO SEX JU; Tag der Freude
SO SEX KN; Bekanntschaften
SO SEX KN; Tag der Änderung einer Meinung
SO SEX KN; Tag des Kontaktes
SO SEX KN; Verbindungen
SO SEX MA; Entschlossenheit
SO SEX MA; Erfolgsmöglichkeit
SO SEX MA; Kampfessmut
SO SEX MA; Schaffenskraft
SO SEX MA; Tag der richtigen Tat
SO SEX MC; berufliche Vorteile
SO SEX MC; Tag der Würde und Berufung
SO SEX MC; wichtige Dinge tun
SO SEX MC; Zielbewusstsein
SO SEX ME; günstig für geschäftliche Angelegenheiten
SO SEX ME; gute Verhandlungen
SO SEX ME; Korrespondenz
SO SEX ME; kurze Reisen
SO SEX ME; Tag des Sprechens
SO SEX ME; Zielbewusstsein
SO SEX MO; alles geht von der Hand
SO SEX MO; ausgeglichen
SO SEX MO; man fühlt sich gut
SO SEX NE; Einfühlung in alles
SO SEX NE; Empfänglichkeit
SO SEX NE; materiell ungünstig
SO SEX NE; Seereise
SO SEX NE; spirituell günstig
SO SEX NE; Tag der Grenzüberschreitung
SO SEX PL; sich durchsetzen können
SO SEX PL; Tag der Führung
SO SEX SA; ältere Menschen
SO SEX SA; beharrlich sein
SO SEX SA; Bescheidenheit
SO SEX SA; Konzentration
SO SEX SA; Ordnung schaffen
SO SEX SA; Tag der Konsolidierung
SO SEX UR; Freiheitsliebe
SO SEX UR; Intuition
SO SEX UR; plötzliche Besuche oder Nachrichten
SO SEX UR; spontan sein
SO SEX UR; Tag der Erneuerung und Überraschung
SO SEX VE; ästhetisches Empfinden
SO SEX VE; Beliebtheit
SO SEX VE; Geschenke empfangen
SO SEX VE; Geschenke geben
SO SEX VE; gewünschtes bekommen
SO SEX VE; Harmonie
SO SEX VE; kleine Erfolge
SO SEX VE; liebevoll
SO SEX VE; nett
SO SEX VE; Zuneigung
SO TRI AS; günstiger Tag für alles
SO TRI AS; gute Selbstdarstellung
SO TRI AS; guter Kontakt zu Freunden
SO TRI JU; Gesundung
SO TRI JU; gute Realisation
SO TRI JU; gutes Verhältnis zu Behörden
SO TRI JU; gutes Verhältnis zur Justiz
SO TRI JU; Tag der Freude
SO TRI KN; Bekanntschaften
SO TRI KN; Tag der Änderung einer Meinung
SO TRI KN; Tag des Kontaktes
SO TRI KN; Verbindungen
SO TRI MA; Entschlossenheit
SO TRI MA; Erfolgsmöglichkeit
SO TRI MA; Kampfessmut
SO TRI MA; Schaffenskraft
SO TRI MA; Tag der richtigen Tat
SO TRI MC; berufliche Vorteile
SO TRI MC; Tag der Würde und Berufung
SO TRI MC; wichtige Dinge tun
SO TRI MC; Zielbewusstsein
SO TRI ME; günstig für geschäftliche Angelegenheiten
SO TRI ME; gute Verhandlungen
SO TRI ME; Korrespondenz
SO TRI ME; kurze Reisen
SO TRI ME; Tag des Sprechens
SO TRI ME; Zielbewusstsein
SO TRI MO; alles geht von der Hand
SO TRI MO; ausgeglichen
SO TRI MO; man fühlt sich gut
SO TRI NE; Einfühlung in alles
SO TRI NE; Empfänglichkeit
SO TRI NE; materiell ungünstig
SO TRI NE; Seereise
SO TRI NE; spirituell günstig
SO TRI NE; Tag der Grenzüberschreitung
SO TRI PL; sich durchsetzen können
SO TRI PL; Tag der Führung
SO TRI SA; ältere Menschen
SO TRI SA; beharrlich sein
SO TRI SA; Bescheidenheit
SO TRI SA; Konzentration
SO TRI SA; Ordnung schaffen
SO TRI SA; Tag der Konsolidierung
SO TRI UR; Freiheitsliebe
SO TRI UR; Intuition
SO TRI UR; plötzliche Besuche oder Nachrichten
SO TRI UR; spontan sein
SO TRI UR; Tag der Erneuerung und Überraschung
SO TRI VE; ästhetisches Empfinden
SO TRI VE; Beliebtheit
SO TRI VE; Geschenke empfangen
SO TRI VE; Geschenke geben
SO TRI VE; gewünschtes bekommen
SO TRI VE; Harmonie
SO TRI VE; kleine Erfolge
SO TRI VE; liebevoll
SO TRI VE; nett
SO TRI VE; Zuneigung

MO KON AS; aus dem Loch klettern
MO KON AS; sich seiner Selbst bewusst werden
MO KON AS; Stunden der eigenen Kraft
MO KON AS; wieder ansprechbar sein
MO KON JU; glückliche Stunde 
MO KON KN; gut für ein Treffen
MO KON MA; Streitgefahr
MO KON MC; günstig zum Erarbeiten von Verständnis
MO KON MC; Stunde der Bewusstwerdung
MO KON ME; Gesprächsstunde
MO KON MO; Neubeginn
MO KON NE; auf falschen Fuß erwischt
MO KON PL; unter Druck geraten
MO KON SA; ernste Stunde 
MO KON SO; guter Tag für Neuanfang
MO KON UR; Überraschung 
MO KON VE; harmonische Stunde
MO OPP AS; Bedürfnisse anderer
MO OPP AS; Stunde des sozialen Umgangs
MO OPP JU; nicht übertreiben
MO OPP KN; schwierige Begegnung
MO OPP MA; Streitgefahr
MO OPP MC; Stunde der eigenen seelischen Tiefe
MO OPP ME; Zunge hüten
MO OPP MO; schlechtes Gefühl
MO OPP NE; auf falschen Fuß erwischt 
MO OPP PL; unter Druck geraten
MO OPP SA; etwas läuft nicht
MO OPP SO; nicht neues beginnen
MO OPP UR; das hätte es nicht gebraucht
MO OPP VE; VE; harmonische Stunde
MO QUA AS; Stunde der Disharmonie
MO QUA JU; nicht übertreiben
MO QUA KN; schwierige Begegnung
MO QUA MA; Streitgefahr
MO QUA MC; Unsicherheit in Heim und oder Beruf
MO QUA ME; Zunge hüten
MO QUA MO; Vorsicht vor Überreaktion
MO QUA NE; auf falschen Fuß erwischt
MO QUA PL; unter Druck geraten
MO QUA SA; etwas läuft nicht
MO QUA SO; nicht neues beginnen
MO QUA UR; das hätte es nicht gebraucht
MO QUA VE; harmonische Stunde
MO SEX AS; neue Bekanntschaften
MO SEX AS; Stunden der Harmonie
MO SEX JU; glückliche Stunde
MO SEX KN; gut für ein Treffen
MO SEX MA; gute Arbeitsstunde
MO SEX MC; günstig zum Erarbeiten von Verständnis
MO SEX MC; Stunde der Bewusstwerdung
MO SEX ME; Gesprächsstunde
MO SEX MO; alles gut
MO SEX NE; träumerische Stunde
MO SEX PL; etwas entwickeln können
MO SEX SA; ernste Stunde
MO SEX SO; guter Tag um etwas zu beginnen
MO SEX UR; angenehme Überraschung
MO SEX VE; harmonische Stunden
MO TRI AS; neue Bekanntschaften
MO TRI AS; Stunden der Harmonie
MO TRI JU; glückliche Stunde
MO TRI KN; gut für ein Treffen
MO TRI MA; gute Arbeitsstunde
MO TRI MC; günstig zum Erarbeiten von Verständnis
MO TRI MC; Stunde der Bewusstwerdung
MO TRI ME; Gesprächsstunde
MO TRI MO; alles gut
MO TRI NE; träumerische Stunde
MO TRI PL; etwas entwickeln können
MO TRI SA; ernste Stunde
MO TRI SO; guter Tag um etwas zu beginnen
MO TRI UR; angenehme Überraschung
MO TRI VE; harmonische Stunde

KN KON AS; Veränderung in Umwelt
KN KON JU; gute neue Verbindungen
KN KON KN; alles geht andersrum als erwartet
KN KON MA; vorsicht vor Streit
KN KON MC; Veränderung im Beruf
KN KON ME; neue Gedanken tauchen auf
KN KON MO; Veränderung in der Gemütslage
KN KON NE; Betrug begegnen
KN KON NE; entäuschende Zeit 
KN KON PL; Unterdrückung erleben
KN KON SA; Blockiert werden
KN KON SO; Veränderung im Verhalten
KN KON UR; Unfallgefahr
KN KON VE; angenehme neue Verbindung
KN OPP AS; Veränderung in Umwelt
KN OPP JU; gute neue Verbindungen
KN OPP KN; alles geht andersrum als erwartet
KN OPP MA; vorsicht vor Streit
KN OPP MC; Veränderung im Beruf
KN OPP ME; neue Gedanken tauchen auf
KN OPP MO; Veränderung in der Gemütslage
KN OPP NE; Betrug begegnen
KN OPP NE; entäuschende Zeit 
KN OPP PL; Unterdrückung erleben
KN OPP SA; Blockiert werden
KN OPP SO; Veränderung im Verhalten
KN OPP UR; Unfallgefahr
KN OPP VE; angenehme neue Verbindung
KN SEX AS; günstige Veränderung in Umwelt
KN SEX JU; gute neue Verbindungen
KN SEX KN; alles geht anders als erwartet
KN SEX MA; gute Teamarbeit
KN SEX MC; günstige Veränderung im Beruf
KN SEX ME; neue Gedanken tauchen auf
KN SEX MO; Veränderung in der Gemütslage
KN SEX NE; eosterische Begnungen
KN SEX PL; sich entwickeln können
KN SEX SA; Plfichten gut erfüllen
KN SEX SO; günstige Veränderung im Verhalten
KN SEX UR; neue Bekannte
KN SEX VE; angenehme neue Verbindung
KN TRI AS; günstige Veränderung in Umwelt
KN TRI JU; gute neue Verbindungen
KN TRI KN; alles geht gut, aber anders als erwartet
KN TRI MA; gute Teamarbeit
KN TRI MC; günstige Veränderung im Beruf
KN TRI ME; neue Gedanken tauchen auf
KN TRI MO; Vgünstige Veränderung in der Gemütslage
KN TRI NE; eosterische Begnungen
KN TRI PL; sich entwickeln können
KN TRI SA; gut seinen Pflichten nachkommen
KN TRI SO; günstige Veränderung im Verhalten
KN TRI UR; überraschen neue Bekannte finden
KN TRI VE; angenehme neue Verbindung

ME KON AS; Gedankenaustausch
ME KON AS; gute Begegnung
ME KON AS; gute Kommunikation
ME KON KN; gute Gesprächskontakte
ME KON MA; Streit
ME KON MA; übertreiben
ME KON MA; Unruhe
ME KON MA; voreilig sein
ME KON MA; Wortgefecht
ME KON MC; Aufmerksamkeit auf Beruf
ME KON MC; Zielstrebigkeit
ME KON ME; gut für Gespräch
ME KON MO; geistige Anregungen
ME KON MO; Ideen und Pläne
ME KON MO; Verhandlungen
ME KON NE; Depressionen
ME KON NE; Irrtümer
ME KON NE; sich täuschen
ME KON NE; unkalkulierbar
ME KON NE; Verworrenheit
ME KON SA; erschwerte Pflichten
ME KON SA; gedrückte Stimmung
ME KON SA; gesundheitlich ungünstig
ME KON SA; grübeln
ME KON SA; Misstrauen
ME KON SO; nicht zu scharf nachdenken
ME KON UR; Einfälle haben
ME KON UR; gute Einfälle
ME KON UR; Übereilung
ME KON UR; Zersplitterung
ME KON VE; alles locker
ME KON VE; Freude an Kunst und Schönheit
ME KON VE; Heiterkeit
ME KON VE; Leichtlebigkeit
ME KON VE; Liebesgedanken
ME OPP AS; andere haben das Wort
ME OPP AS; mit anderen sprechen, schreiben
ME OPP JU; Konflikte
ME OPP JU; Leichtfertigkeit
ME OPP JU; rechtswidrige Handlungen
ME OPP JU; Taktlosigkeit
ME OPP JU; Übertreibung
ME OPP JU; Unzuverlässigkeit
ME OPP KN; Kommunikationsprobleme
ME OPP KN; Schwierigkeiten ins Gespräch zu kommen
ME OPP MA; Streit
ME OPP MA; übertreiben
ME OPP MA; Unruhe
ME OPP MA; voreilig sein
ME OPP MA; Wortgefecht
ME OPP MC; an Familie denken
ME OPP MC; Gedanken nach innen richten
ME OPP MC; Vatergespräche
ME OPP ME; Zunge hüten
ME OPP MO; eher missgestimmt
ME OPP MO; gereizt
ME OPP MO; kleinere Fehlschläge
ME OPP NE; sich schwer täuschen
ME OPP PL; Fanatismus in Rede und Schrift
ME OPP PL; sich unbedingt durchsetzen wollen
ME OPP PL; Übereifer
ME OPP SO; nicht zu scharf nachdenken
ME OPP UR; überraschende Nachricht
ME QUA AS; Probleme mit anderen in Rede und Schrift
ME QUA JU; Konflikte
ME QUA JU; Leichtfertigkeit
ME QUA JU; rechtswidrige Handlungen
ME QUA JU; Taktlosigkeit
ME QUA JU; Übertreibung
ME QUA JU; Unzuverlässigkeit
ME QUA KN; Kommunikationsprobleme
ME QUA KN; Schwierigkeiten ins Gespräch zu kommen
ME QUA MA; Streit
ME QUA MA; übertreiben
ME QUA MA; Unruhe
ME QUA MA; voreilig sein
ME QUA MA; Wortgefecht
ME QUA MC; berufliche Unsicherheit
ME QUA MC; unaufmerksam
ME QUA MC; unklare Haltung
ME QUA MC; zwischen Heim und Beruf schwankend
ME QUA ME; Zunge hüten
ME QUA MO; eher missgestimmt
ME QUA MO; gereizt
ME QUA MO; kleinere Fehlschläge
ME QUA NE; Depressionen
ME QUA NE; Irrtümer
ME QUA NE; sich schwer täuschen
ME QUA NE; unkalkulierbar
ME QUA NE; Verworrenheit
ME QUA PL; Fanatismus in Rede und Schrift
ME QUA PL; sich unbedingt durchsetzen wollen
ME QUA PL; Übereifer
ME QUA SA; erschwerte Pflichten
ME QUA SA; gedrückte Stimmung
ME QUA SA; gesundheitlich ungünstig
ME QUA SA; grübeln
ME QUA SA; Misstrauen
ME QUA SO; nicht zu scharf nachdenken
ME QUA UR; Übereilung
ME QUA UR; überraschende unangehme Nachricht
ME QUA UR; Überspannung
ME QUA UR; unerwünschte Besuche
ME QUA UR; Zersplitterung
ME QUA UR; Zwischenfälle
ME QUA VE; Ärger mit der Geliebten
ME QUA VE; Übertreibung
ME SEX AS; Gedankenaustausch
ME SEX AS; gute Begegnung
ME SEX AS; gute Kommunikation
ME SEX JU; Erfolge bei Behörden
ME SEX JU; günstig für Geschäftsgründung
ME SEX JU; Günstig für Verhandlungen und Verträge
ME SEX JU; gute Gedanken
ME SEX JU; gute Nachrichten
ME SEX JU; gute Worte
ME SEX KN; gute Gesprächskontakte
ME SEX MC; Aufmerksamkeit auf Beruf
ME SEX MC; Zielstrebigkeit
ME SEX ME; gut für Gespräch
ME SEX NE; gute Inspiration
ME SEX NE; gute Phantasie
ME SEX NE; inspiriert
ME SEX NE; Vorgefühl für Kommendes
ME SEX PL; andere überreden
ME SEX PL; beeinflussen können
ME SEX PL; Macht des Wortes
ME SEX PL; überzeugen können
ME SEX SA; Beziehungen zu älteren Leuten
ME SEX SA; ernsthaftes Denken
ME SEX SA; gründlich
ME SEX SA; Konzentration
ME SEX SA; Pflichtbewusstsein
ME SEX SA; philosophisches Denken
ME SEX SO; gut zum nachdenken
ME SEX UR; Einfälle haben
ME SEX UR; plötzliche gute Nachrichten
ME SEX UR; plötzliche kleine Reise
ME SEX UR; überraschende, gute Einfälle
ME SEX VE; alles locker
ME SEX VE; Freude an Kunst und Schönheit
ME SEX VE; Heiterkeit
ME SEX VE; Leichtlebigkeit
ME SEX VE; Liebesgedanken
ME TRI AS; Gedankenaustausch
ME TRI AS; gute Begegnung
ME TRI AS; gute Kommunikation
ME TRI JU; Erfolge bei Behörden
ME TRI JU; günstig für Geschäftsgründung
ME TRI JU; Günstig für Verhandlungen und Verträge
ME TRI JU; gute Gedanken
ME TRI JU; gute Nachrichten
ME TRI JU; gute Worte
ME TRI KN; gute Gesprächskontakte
ME TRI MA; Angelegenheiten regeln
ME TRI MA; geistig aktiv
ME TRI MA; Reiselust
ME TRI MA; Unternehmungslust
ME TRI MA; Worte durchsetzen
ME TRI MC; Aufmerksamkeit auf Beruf
ME TRI MC; Zielstrebigkeit
ME TRI ME; gut für Gespräch
ME TRI MO; geistige Anregungen
ME TRI MO; Ideen und Pläne
ME TRI MO; Verhandlungen
ME TRI NE; gute Inspiration
ME TRI NE; gute Phantasie
ME TRI NE; inspiriert
ME TRI NE; Vorgefühl für Kommendes
ME TRI PL; beeinflussen
ME TRI PL; Macht des Wortes
ME TRI PL; überreden
ME TRI SO; gut zum nachdenken
ME TRI UR; Einfälle haben
ME TRI VE; alles locker
ME TRI VE; Freude an Kunst
ME TRI VE; Heiterkeit
ME TRI VE; Leichtlebigkeit
ME TRI VE; Liebesgedanken
ME TRI VE; über Schönheit reden
VE KON AS; gewünschtes bei anderen erreichen
VE KON AS; liebevoller Umgang mit anderen
VE KON JU; Besuche
VE KON JU; Festlichkeiten
VE KON JU; Geselligkeit
VE KON JU; harmonische Beziehungen
VE KON JU; Liebesglück
VE KON JU; Vergnügungen
VE KON KN; entgegenkommen
VE KON KN; gewünschte Begegnungen
VE KON KN; Liebesbekanntschaft
VE KON MA; Erotik
VE KON MA; Leidenschaftlichkeit
VE KON MA; Übertreibung
VE KON MA; unbefriedigt sein
VE KON MA; Unwohlsein
VE KON MC; angenehmes in Heim und Familie
VE KON MC; Bewusstsein für das Schöne
VE KON MC; Sinn für Ästhetik und Kunst
VE KON MC; Unerwünschtes im Beruf
VE KON MC; Unerwünschtes zu Haus
VE KON ME; Liebesgespräche
VE KON MO; Geselligkeit
VE KON MO; Harmonie
VE KON MO; Liebesempfinden
VE KON MO; Vergnügungen
VE KON MO; Zufriedenheit
VE KON NE; Enttäuschung
VE KON NE; erotische Verirrung
VE KON NE; Geschmacklosigkeit
VE KON NE; Verführbarkeit
VE KON PL; Eifersucht
VE KON PL; übersteigerte Triebe
VE KON PL; Unsittlichkeit
VE KON SA; Abschied
VE KON SA; Eifersucht
VE KON SA; nüchtern
VE KON SA; Tränen
VE KON SA; Trennung
VE KON SA; Triebhemmungen
VE KON SA; unbefriedigt sein
VE KON SO; schöner Tag
VE KON SO; schöner Tag
VE KON UR; angehme Überraschung
VE KON UR; Launenhaftigkeit
VE KON UR; Liebesverrat
VE KON UR; Unabhängigkeitsdrang in der Liebe
VE KON UR; wankelmütig
VE KON VE; wunschgemäß
VE OPP AS; beliebt bei anderen
VE OPP JU; Bequemlichkeit
VE OPP JU; Nachlässigkeit
VE OPP JU; Rechtskonflikte
VE OPP JU; sich nicht bescheiden wollen
VE OPP JU; Verluste
VE OPP JU; Verschwendung
VE OPP JU; zu viel wünschen
VE OPP KN; Rückfall in altes Begehren
VE OPP KN; Wiederkehr alter Vorlieben
VE OPP MA; Erotik
VE OPP MA; Leidenschaftlichkeit
VE OPP MA; Übertreibung
VE OPP MA; unbefriedigt sein
VE OPP MA; Unwohlsein
VE OPP MC; Unerwünschtes im Beruf
VE OPP MC; Unerwünschtes zu Haus
VE OPP ME; disharmonische Worte
VE OPP MO; Disharmonie
VE OPP MO; Konflikte im Liebesleben
VE OPP MO; Missstimmungen
VE OPP MO; Schwierigkeiten mit Frauen
VE OPP NE; Enttäuschung
VE OPP NE; erotische Verirrung
VE OPP NE; Geschmacklosigkeit
VE OPP NE; Verführbarkeit
VE OPP PL; Eifersucht
VE OPP PL; übersteigerte Triebe
VE OPP PL; Unsittlichkeit
VE OPP SA; Abschied
VE OPP SA; Eifersucht
VE OPP SA; nüchtern
VE OPP SA; Tränen
VE OPP SA; Trennung
VE OPP SA; Triebhemmungen
VE OPP SA; unbefriedigt sein
VE OPP SO; es geht nicht wie gewünscht
VE OPP SO; nicht wunschgemäßer Tag
VE OPP UR; unangehme Überraschung
VE OPP UR; Launenhaftigkeit
VE OPP UR; Liebesverrat
VE OPP UR; Unabhängigkeitsdrang in der Liebe
VE OPP UR; wankelmütig
VE OPP VE; nicht wunschgemäß
VE QUA AS; disharmonisch mit sich und der Welt
VE QUA JU; Bequemlichkeit
VE QUA JU; Nachlässigkeit
VE QUA JU; Rechtskonflikte
VE QUA JU; sich nicht bescheiden wollen
VE QUA JU; Verluste
VE QUA JU; zu viel wünschen
VE QUA KN; gewünschte Kontakte klappen nicht
VE QUA KN; Trennung
VE QUA MA; Erotik
VE QUA MA; Leidenschaftlichkeit
VE QUA MA; Übertreibung
VE QUA MA; unbefriedigt sein
VE QUA MA; Unwohlsein
VE QUA MC; Unerwünschtes im Beruf
VE QUA MC; Unerwünschtes zu Haus
VE QUA ME; disharmonische Worte
VE QUA MO; Disharmonie
VE QUA MO; Konflikte im Liebesleben
VE QUA MO; Missstimmungen
VE QUA MO; Schwierigkeiten mit Frauen
VE QUA NE; Enttäuschung
VE QUA NE; erotische Verirrung
VE QUA NE; Geschmacklosigkeit
VE QUA NE; Verführbarkeit
VE QUA PL; Eifersucht
VE QUA PL; übersteigerte Triebe
VE QUA PL; Unsittlichkeit
VE QUA SA; Abschied
VE QUA SA; Eifersucht
VE QUA SA; nüchtern
VE QUA SA; Tränen
VE QUA SA; Trennung
VE QUA SA; Triebhemmungen
VE QUA SA; unbefriedigt sein
VE QUA SO; es geht nicht wie gewünscht
VE QUA SO; nicht wunschgemäßer Tag
VE QUA UR; Launenhaftigkeit
VE QUA UR; Liebesverrat
VE QUA UR; Unabhängigkeitsdrang in der Liebe
VE QUA UR; unangehme Überraschung
VE QUA UR; wankelmütig
VE QUA VE; nicht wunschgemäß
VE SEX AS; gewünschtes bei anderen erreichen
VE SEX AS; liebevoller Umgang mit anderen
VE SEX JU; Besuche
VE SEX JU; Festlichkeiten
VE SEX JU; harmonische Beziehungen
VE SEX JU; Liebesglück
VE SEX JU; Vergnügungen
VE SEX KN; entgegenkommen
VE SEX KN; gewünschte Begegnungen
VE SEX KN; Liebesbekanntschaft
VE SEX MA; Erotik
VE SEX MA; großes Liebesbedürfnis
VE SEX MA; im Begehren sein
VE SEX MA; künstlerische Gestaltungskraft
VE SEX MA; Sinnlichkeit
VE SEX MC; angenehmes im Beruf
VE SEX MC; angenehmes in Heim und Familie
VE SEX MC; Bewusstsein für das Schöne
VE SEX MC; Sinn für Ästhetik und Kunst
VE SEX ME; Liebesgespräche
VE SEX MO; Geselligkeit
VE SEX MO; Harmonie
VE SEX MO; Liebesempfinden
VE SEX MO; Vergnügungen
VE SEX MO; Zufriedenheit
VE SEX NE; künstlerische Darbietungen
VE SEX NE; Seereisen
VE SEX NE; Utopie
VE SEX NE; verfeinerte Liebe
VE SEX NE; verträumt
VE SEX NE; viele Wünsche
VE SEX NE; weite Reisen
VE SEX PL; gesteigertes Triebleben
VE SEX PL; starkes Liebesempfinden
VE SEX PL; Wunscherfüllung
VE SEX SA; freiwilliger Verzicht
VE SEX SA; Nüchternheit
VE SEX SA; Pflichtgefühl
VE SEX SA; Sparsamkeit
VE SEX SA; Vorsicht
VE SEX SA; Wirklichkeitssinn
VE SEX SO; schöner Tag
VE SEX SO; schöner Tag
VE SEX UR; angehme Überraschung
VE SEX UR; angenehme Überraschungen
VE SEX UR; Besuche
VE SEX UR; plötzliche Zuneigung
VE SEX VE; wunschgemäß
